날짜,지점,강수량(mm)
2018-10-23,133,0.4
2018-10-24,133,
2018-10-25,133,
2018-10-26,133,21.7
2018-10-27,133,0.2
2018-10-28,133,13.2
2018-10-29,133,0.2
2018-10-30,133,
2018-10-31,133,0
2018-11-01,133,
2018-11-02,133,
2018-11-03,133,
2018-11-04,133,
2018-11-05,133,
2018-11-06,133,
2018-11-07,133,1.2
2018-11-08,133,37.1
2018-11-09,133,1
2018-11-10,133,
2018-11-11,133,0
2018-11-12,133,
2018-11-13,133,
2018-11-14,133,
2018-11-15,133,
2018-11-16,133,
2018-11-17,133,
2018-11-18,133,
2018-11-19,133,
2018-11-20,133,
2018-11-21,133,0.4
2018-11-22,133,
2018-11-23,133,
2018-11-24,133,10.1
2018-11-25,133,
2018-11-26,133,
2018-11-27,133,
2018-11-28,133,
2018-11-29,133,
2018-11-30,133,
2018-12-01,133,
2018-12-02,133,
2018-12-03,133,10.6
2018-12-04,133,16.8
2018-12-05,133,
2018-12-06,133,1.3
2018-12-07,133,0
2018-12-08,133,
2018-12-09,133,
2018-12-10,133,
2018-12-11,133,3
2018-12-12,133,
2018-12-13,133,0.1
2018-12-14,133,
2018-12-15,133,
2018-12-16,133,0
2018-12-17,133,0.1
2018-12-18,133,
2018-12-19,133,1.8
2018-12-20,133,
2018-12-21,133,
2018-12-22,133,
2018-12-23,133,0
2018-12-24,133,
2018-12-25,133,
2018-12-26,133,0
2018-12-27,133,
2018-12-28,133,0
2018-12-29,133,0
2018-12-30,133,0
2018-12-31,133,
